driver_id,total_fare,avg_distance
76,372.11,28.862000000000002
57,132.12,38.39
71,45.52,38.98
72,259.49,25.7125
85,105.15,4.88
1,203.81,30.875
44,81.9,26.95
73,249.17,25.5
86,99.16,19.81
37,69.3,36.32
43,260.49,15.68
74,135.09,36.04
62,146.85,17.4
18,99.66,16.03
58,165.67999999999998,22.290000000000003
98,68.97,29.275
89,108.73,14.52
19,216.87,36.08
52,54.45,25.75
14,58.99,22.59
93,159.70999999999998,11.59
21,88.93,38.65
32,7.99,5.61
22,99.17,37.33
95,279.95,22.916666666666668
77,160.98000000000002,19.545
55,421.82,38.9075
60,275.59000000000003,31.854999999999997
68,35.16,2.69
3,138.55,17.46
4,127.81,37.89
17,140.14,21.285
81,124.73,13.42
69,32.74,25.415
99,247.51999999999998,12.315000000000001
8,25.57,23.05
47,177.0,13.32
63,84.23,42.49
46,5.32,3.04
39,41.23,12.61
54,222.10000000000002,20.645
30,226.27,22.409999999999997
75,98.34,37.67
82,203.26999999999998,35.14666666666667
88,30.4,21.91
38,161.83,47.58
13,68.13,36.0
15,323.91,28.117500000000003
83,102.07,31.71
6,95.64,46.16
50,107.73,18.48
33,29.82,22.32
24,85.57,31.35
42,38.22,5.7
41,143.07,25.365
84,17.15,20.87
78,49.980000000000004,39.125
40,21.5,42.26
59,128.49,6.19
91,121.33,22.005
51,33.39,16.18
