driver_id,total_fare,avg_distance
76,275.74,31.16333333333333
44,81.9,26.95
73,132.67,5.38
71,45.52,38.98
72,175.9,27.15
85,105.15,4.88
86,99.16,19.81
1,203.81,30.875
43,130.71,14.033333333333333
95,158.63,24.779999999999998
77,134.11,9.57
89,108.73,14.52
19,102.51,42.33
52,54.45,25.75
93,83.72,12.15
21,88.93,38.65
55,146.25,42.73
60,275.59000000000003,31.854999999999997
3,138.55,17.46
17,105.14,33.07
69,26.78,2.75
99,103.38,15.32
47,177.0,13.32
15,201.13,38.85
83,102.07,31.71
46,5.32,3.04
39,41.23,12.61
91,96.99,24.45
54,122.51,37.03
51,33.39,16.18
30,186.56,24.22
82,64.29,36.97
88,30.4,21.91
