driver_id,total_fare,avg_distance
76,275.74,31.16333333333333
44,81.9,26.95
57,132.12,38.39
73,249.17,25.5
71,45.52,38.98
72,199.41,21.53333333333333
85,105.15,4.88
86,99.16,19.81
1,203.81,30.875
43,130.71,14.033333333333333
95,158.63,24.779999999999998
77,134.11,9.57
89,108.73,14.52
19,102.51,42.33
52,54.45,25.75
93,83.72,12.15
21,88.93,38.65
55,146.25,42.73
60,275.59000000000003,31.854999999999997
3,138.55,17.46
17,140.14,21.285
69,26.78,2.75
99,103.38,15.32
8,25.57,23.05
47,177.0,13.32
13,68.13,36.0
84,17.15,20.87
15,256.93,35.580000000000005
83,102.07,31.71
46,5.32,3.04
39,41.23,12.61
91,96.99,24.45
54,122.51,37.03
51,33.39,16.18
24,85.57,31.35
30,186.56,24.22
82,189.14,31.31
88,30.4,21.91
